,World - 2500 companies ranked by R&D,,,,,,,,,,,,,,,,,,,,
world rank,Name,Country,Industrial sector (ICB-3D), R&D 2013 (€million), R&D 1 year growth (%)," R&D 3 years growth (CAGR-3y, %)",R&D intensity (%),Sales 2013 (€million),Sales 1 year growth (%),"Sales 3 years growth (CAGR-3y, %)",Capex 2013 (€million),Capex 1 year growth (%),"Capex 3 years growth (CAGR-3y, %)",Capex int. (%),Profits 2013 (€million),Profits 1 year growth (%),"Profits 3 years growth (CAGR-3y, %)",Profitability (%),Employees 2013,Employees 1-year growth (%),"Employees 3-years growth (CAGR-3y, %)"
728,NISSAN CHEMICAL INDUSTRIES,Japan,Chemicals,98.0,3.8,4.0,8.7,1127.0,6.4,2.0,62.0,11.9,1.8,5.5,153.2,13.8,3.9,13.6,2281,0.7,-0.5
729,SELLAFIELD,UK,General Industrials,97.9,5.1,1.7,195.2,50.2,7.7,-10.2,,   ,   ,0.0,43.0,16.1,-10.4,85.7,10031,6.8,1.3
730,ORION OYJ,Finland,Pharmaceuticals & Biotechnology,97.7,-2.3,7.0,9.7,1006.9,2.7,5.8,65.9,55.4,43.9,6.5,264.7,-5.8,1.2,26.3,3540,1.3,4.1
731,VEOLIA ENVIRONNEMENT,France,"Gas, Water & Multi-utilities",97.7,-25.1,-11.2,0.4,23096.6,-5.9,-7.1,1226.9,-27.0,-16.2,5.3,1548.3,-27.3,-6.8,6.7,202800,-7.7,-10.9
732,MOOG,US,Aerospace & Defence,97.6,15.7,9.5,5.2,1892.8,5.7,7.3,67.6,-12.9,12.2,3.6,149.4,-15.3,2.2,7.9,11152,1.6,3.3
733,CAVIUM NETWORKS,US,Technology Hardware & Equipment,97.6,22.4,28.4,44.3,220.4,29.1,13.8,6.4,-33.2,8.7,2.9,-6.8,-87.8,  ,-3.1,830,-0.1,9.5
734,FIRST SOLAR,US,Alternative Energy,97.4,1.4,12.3,4.1,2399.4,-1.8,8.9,204.9,-25.5,-21.7,8.5,330.2,5.5,-15.3,13.8,4850,-13.4,-7.4
735,IDEMITSU KOSAN,Japan,Oil & Gas Producers,97.3,-4.1,-1.7,0.3,34671.7,15.1,11.2,650.8,62.7,20.8,1.9,407.3,-44.3,-20.1,1.2,8749,0.7,2.2
736,KRKA,Slovenia,Pharmaceuticals & Biotechnology,97.2,-3.8,2.3,8.1,1200.8,5.0,5.9,151.7,4.5,11.5,12.6,227.1,18.4,2.5,18.9,10048,6.2,5.5
737,KORBER,Germany,General Industrials,97.0,-8.6,4.5,4.8,2003.7,3.1,7.5,,   ,   ,0.0,221.6,-2.2,41.0,11.1,9169,-0.2,-0.5
738,E.ON,Germany,"Gas, Water & Multi-utilities",97.0,-32.2,3.3,0.1,122450.0,-7.3,9.7,4574.0,-28.3,-16.7,3.7,5028.0,16.6,-22.9,4.1,62239,-13.7,-9.9
739,YASKAWA ELECTRIC,Japan,Electronic & Electrical Equipment,96.6,30.8,13.0,3.9,2503.6,17.1,7.0,109.5,41.0,36.4,4.4,174.4,98.1,25.3,7.0,11463,10.4,12.3
740,VERINT SYSTEMS,US,Software & Computer Services,96.6,11.2,10.4,14.7,657.9,8.1,7.7,16.2,12.2,26.5,2.5,88.7,22.8,18.7,13.5,3400,6.3,6.7
741,KONE,Finland,Industrial Engineering,96.5,12.1,10.8,1.4,6932.6,10.4,11.6,77.4,-31.7,18.8,1.1,953.5,16.1,11.0,13.8,43298,8.6,8.7
742,PERKINELMER,US,Electronic & Electrical Equipment,96.5,0.3,11.9,6.1,1570.8,2.4,8.4,28.3,-8.1,5.0,1.8,182.3,102.8,11.9,11.6,7600,1.3,7.0
743,SEALED AIR,US,General Industrials,96.4,-1.5,14.8,1.7,5576.7,1.7,22.8,84.1,-5.5,9.8,1.5,489.4,-151.9,7.2,8.8,25000,0.0,15.8
744,KONGSBERG GRUPPEN,Norway,Aerospace & Defence,96.4,-3.1,8.9,5.0,1946.7,4.3,1.7,42.5,-33.6,-5.7,2.2,197.9,-10.5,-7.7,10.2,7272,5.9,10.2
745,SMA SOLAR TECHNOLOGY,Germany,Alternative Energy,96.2,-6.8,7.2,10.3,932.5,-36.3,-21.4,25.2,-65.5,-43.5,2.7,-89.1,-186.2,  ,-9.6,5803,-6.7,1.2
746,HISAMITSU PHARMACEUTICAL,Japan,Pharmaceuticals & Biotechnology,95.9,10.0,0.3,9.2,1037.3,5.5,3.2,28.2,-17.8,-11.7,2.7,131.7,-20.2,-12.1,12.7,2949,4.4,3.8
747,NCSOFT,South Korea,Software & Computer Services,95.9,-16.6,24.5,18.4,519.9,0.4,5.2,70.5,8.8,28.3,13.6,141.0,35.7,-5.4,27.1,,   ,   
748,UBE INDUSTRIES,Japan,General Industrials,95.8,-0.8,0.3,2.1,4479.5,3.9,1.8,249.8,-2.8,6.8,5.6,167.1,-9.5,-14.9,3.7,11225,1.2,0.6
749,GANSU JIU STEEL GROUP HONG XING IRON & STEEL,China,Industrial Metals & Mining,95.3,91.6,60.2,0.9,10647.0,20.5,33.9,411.2,-40.8,13.7,3.9,-153.4,-169.9,  ,-1.4,25747,7.5,16.3
750,AVICHINA INDUSTRY & TECHNOLOGY,China,Industrial Transportation,95.2,5.5,16.2,3.6,2637.0,32.1,8.6,319.3,238.1,41.8,12.1,206.4,33.4,-7.5,7.8,40339,9.5,15.2
751,ZHENGZHOU YUTONG BUS,China,Automobiles & Parts,95.2,14.5,53.3,3.8,2493.3,12.1,17.6,109.5,-51.4,-0.2,4.4,221.4,3.6,21.7,8.9,11415,25.1,29.8
752,NHK SPRING,Japan,Automobiles & Parts,95.0,17.5,12.1,2.4,3923.1,12.2,7.7,132.9,-17.8,1.2,3.4,257.7,35.1,4.6,6.6,16242,4.2,4.8
753,INTERNATIONAL RECTIFIER,US,Technology Hardware & Equipment,94.9,3.0,3.1,11.8,802.4,13.3,-2.0,32.0,-39.2,-34.1,4.0,53.6,-198.1,-20.7,6.7,4165,0.1,-5.4
754,INTERSIL,US,Technology Hardware & Equipment,94.7,-21.8,-10.7,22.7,417.1,-5.4,-11.2,13.5,48.2,-3.6,3.2,34.9,-4056.8,-28.0,8.4,1017,-31.7,-16.7
755,WOODWARD GOVERNOR,US,Industrial Engineering,94.4,-9.1,16.4,6.7,1403.8,3.8,9.9,102.7,118.2,71.4,7.3,163.1,1.2,7.2,11.6,,-100.0,-100.0
756,ADTRAN,US,Technology Hardware & Equipment,94.3,4.0,12.9,20.3,464.7,3.0,1.9,5.9,-32.3,-6.1,1.3,36.7,-22.7,-31.0,7.9,2010,   ,6.5
757,JACK HENRY & ASSOCIATES,US,Software & Computer Services,93.5,12.6,12.6,10.7,877.4,7.1,7.8,81.0,14.4,23.7,9.2,226.2,17.5,13.0,25.8,5499,7.0,5.6
758,SHISEIDO,Japan,Personal Goods,93.2,-0.9,-2.6,1.8,5247.6,12.4,4.3,123.7,-4.3,0.5,2.4,335.2,-1683.0,3.4,6.4,33054,-0.9,1.8
759,ALKERMES,Ireland,Pharmaceuticals & Biotechnology,92.9,-4.0,10.0,29.6,313.9,-24.8,32.4,13.8,-14.2,26.6,4.4,11.2,-81.1,  ,3.6,12300,900.0,173.7
760,ELECTRONICS FOR IMAGING,US,Technology Hardware & Equipment,92.9,6.5,4.9,17.6,527.7,11.6,13.0,36.1,710.4,114.9,6.8,130.1,352.2,277.4,24.7,2523,5.4,10.2
761,CAMPBELL SOUP,US,Food Producers,92.8,2.4,1.3,1.6,5838.6,12.2,1.6,243.6,4.0,2.2,4.2,820.1,-2.7,-6.0,14.0,20000,13.0,2.8
762,LONZA,Switzerland,Chemicals,92.7,-1.7,7.4,3.2,2915.1,-8.7,10.2,157.8,-32.9,-12.0,5.4,205.8,-25.6,-12.2,7.1,9935,-7.9,6.3
763,ANDRITZ,Austria,Industrial Engineering,92.6,18.5,20.8,1.6,5710.8,10.3,17.1,111.4,2.1,17.4,1.9,89.9,-73.0,-28.4,1.6,23713,32.7,17.4
764,AIR PRODUCTS AND CHEMICALS,US,Chemicals,92.0,14.1,3.4,1.2,7381.9,5.9,5.7,1105.2,0.2,15.5,15.0,1142.3,3.1,5.0,15.5,21600,1.4,5.7
765,DAICEL CHEMICAL INDUSTRIES,Japan,Chemicals,92.0,3.8,3.7,3.2,2849.4,15.4,5.4,186.5,8.9,33.5,6.5,261.1,46.4,5.4,9.2,9700,5.1,7.8
766,SPANSION,US,Technology Hardware & Equipment,91.9,17.5,8.1,13.0,704.6,6.1,-6.0,40.6,32.4,-4.0,5.8,-29.9,-159.2,-2.9,-4.2,3685,29.8,2.7
767,COMMSCOPE,US,Mobile Telecommunications,91.7,3.9,1.8,3.6,2523.5,4.8,3.0,26.7,31.6,1.3,1.1,255.1,34.7,7.3,10.1,13000,   ,   
768,CIRRUS LOGIC,US,Technology Hardware & Equipment,91.5,10.6,23.5,17.7,518.0,-11.8,24.6,12.6,-69.0,-7.0,2.4,112.5,-24.0,24.7,21.7,751,15.2,9.6
769,HYOSUNG,South Korea,General Industrials,91.4,1.7,5.7,1.1,8642.5,-0.3,2.8,469.2,-26.7,-3.5,5.4,333.8,117.8,-8.2,3.9,,   ,   
770,NIPPON KAYAKU,Japan,Chemicals,91.4,23.7,6.2,8.3,1102.3,25.0,2.4,117.6,77.9,26.1,10.7,165.5,41.9,4.9,15.0,4794,3.8,2.9
771,SYSMEX,Japan,Health Care Equipment & Services,91.3,9.4,2.3,7.2,1270.8,26.8,14.0,91.5,38.2,32.0,7.2,224.8,49.7,21.3,17.7,5401,11.4,8.3
772,PENTAIR,Ireland,General Industrials,91.2,34.5,23.3,1.7,5423.6,69.4,35.1,123.3,79.8,41.9,2.3,562.5,-1993.9,32.1,10.4,28600,-3.7,26.0
773,BENTELER INTERNATIONAL,Austria,Automobiles & Parts,91.2,-15.2,-5.9,719.8,12.7,-1.1,0.8,,   ,   ,0.0,-10.6,156.7,  ,-83.7,,   ,   
774,BOUYGUES,France,Construction & Materials,91.0,-1.1,-8.0,0.3,33345.0,-0.6,2.2,1387.0,-39.9,-2.7,4.2,1765.0,13.8,-8.5,5.3,128067,-6.5,-2.3
775,WABCO,US,Automobiles & Parts,90.9,17.9,13.4,4.6,1972.7,9.8,7.7,88.1,20.9,18.1,4.5,250.0,3.8,16.7,12.7,10860,1.9,3.3
776,THERAVANCE,US,Pharmaceuticals & Biotechnology,90.8,6.2,18.6,2631.0,3.5,-96.5,-41.9,63.6,3287.4,367.1,1843.9,-122.4,1199.0,29.2,-3549.0,241,6.6,7.7
777,GLORY,Japan,Industrial Engineering,90.7,9.0,13.6,6.0,1505.5,14.5,16.3,37.1,22.8,20.1,2.5,115.1,16.1,18.8,7.6,7833,-0.9,9.0
778,CHINA NATIONAL MATERIALS,China,Construction & Materials,90.7,23.9,15.5,1.5,6188.5,12.8,5.6,336.9,-42.3,-26.8,5.4,601.3,19.4,0.8,9.7,57935,2.9,7.7
779,GAMESA,Spain,Industrial Engineering,90.7,-19.3,31.0,3.9,2335.6,-12.4,-5.1,73.9,-47.1,-7.0,3.2,187.8,-189.8,28.5,8.0,6278,-5.7,-3.2
780,CLOROX,US,Household Goods & Home Construction,90.6,-3.8,2.8,2.2,4054.1,-0.6,2.2,100.1,-28.9,-15.4,2.5,695.4,-1.2,12.3,17.2,8200,-2.4,0.4
781,VAILLANT,Germany,Industrial Engineering,90.6,1.8,9.2,3.9,2331.3,2.4,1.7,,   ,   ,0.0,186.1,-8.9,10.8,8.0,11619,-0.7,-1.6
782,INFINERA,US,Technology Hardware & Equipment,90.5,6.4,1.7,22.9,394.5,24.1,6.2,15.3,-17.0,0.6,3.9,-17.5,-70.9,-5.4,-4.4,1318,6.1,7.1
783,SHUTTERFLY,US,Software & Computer Services,90.5,26.9,35.0,15.9,568.2,22.3,36.6,56.8,47.6,53.1,10.0,16.0,-45.8,-3.8,2.8,1573,42.1,37.1
784,RED BULL TECHNOLOGY,UK,Automobiles & Parts,90.4,8.2,9.8,32.7,276.9,7.7,13.0,,   ,   ,0.0,5.5,12.2,6.2,2.0,658,8.8,3.6
785,TOKYO ELECTRIC POWER,Japan,Electricity,89.9,-36.7,-32.3,0.2,45664.9,11.0,7.3,4133.0,-8.6,-3.2,9.1,1317.9,-181.7,-21.8,2.9,45744,-6.2,-4.8
786,CHUNGHWA TELECOM,Taiwan,Fixed Line Telecommunications,89.9,0.7,3.0,1.6,5502.9,3.0,4.0,878.2,9.3,13.9,16.0,1176.8,-4.4,-5.6,21.4,,-100.0,-100.0
787,OKI ELECTRIC,Japan,Technology Hardware & Equipment,89.2,-7.3,-2.0,2.7,3326.8,6.0,3.7,53.5,-34.6,5.9,1.6,186.0,103.8,35.8,5.6,21090,20.8,8.1
788,HEIWA,Japan,Industrial Engineering,88.6,43.5,9.6,7.1,1250.3,2.5,28.3,64.4,42.1,44.2,5.1,252.5,8.8,33.9,20.2,4898,-0.9,73.7
789,BUHLER,Switzerland,Industrial Engineering,88.3,4.6,11.3,4.7,1888.5,-3.6,6.8,,   ,   ,0.0,111.4,-17.4,-12.2,5.9,10659,3.0,10.7
790,CHECK POINT SOFTWARE TECHNOLOGIES,Israel,Software & Computer Services,88.3,8.8,5.7,8.7,1010.9,3.8,8.3,6.9,16.7,24.9,0.7,551.7,1.7,12.9,54.6,2990,10.5,10.1
791,VALSPAR,US,Construction & Materials,88.1,3.8,6.6,3.0,2975.7,2.1,8.3,84.7,30.6,19.9,2.8,385.1,4.5,11.0,12.9,11100,13.3,2.9
792,SALZGITTER,Germany,Industrial Metals & Mining,87.9,7.6,3.9,1.0,9244.2,-11.1,3.6,274.7,-14.4,-14.9,3.0,-355.1,-681.2,  ,-3.8,23164,-0.4,0.3
793,SAMSUNG C&T,South Korea,Electronic & Electrical Equipment,87.9,11.1,4.9,0.4,19535.1,12.3,7.6,192.1,-45.4,-12.4,1.0,297.7,-11.6,-20.3,1.5,,   ,   
794,VALLOUREC,France,Industrial Engineering,87.4,-5.9,8.7,1.6,5578.3,4.7,7.5,567.0,-29.4,-13.4,10.2,604.4,15.1,-6.3,10.8,22912,3.2,4.6
795,ZEON,Japan,Chemicals,87.2,6.4,9.9,4.3,2041.2,18.2,3.1,169.0,21.5,41.5,8.3,205.9,35.0,-5.4,10.1,3186,0.7,4.0
796,GEA,Germany,Industrial Engineering,87.1,-13.3,9.4,2.0,4320.0,4.3,-0.7,120.5,-3.6,11.1,2.8,418.1,33.5,27.2,9.7,24954,1.8,7.0
797,PHOENIX CONTACT,Germany,Electronic & Electrical Equipment,87.1,22.7,17.0,5.6,1565.7,2.2,17.3,,   ,   ,0.0,214.5,0.0,39.9,13.7,11726,7.9,   
798,FISERV,US,Support Services,87.0,15.4,10.0,2.5,3490.7,8.5,5.2,171.1,22.3,10.5,4.9,769.3,1.2,1.8,22.0,21000,5.0,3.4
799,RABOBANK,The Netherlands,Banks,87.0,-6.5,-8.9,0.8,11276.0,-17.1,-2.9,,   ,   ,0.0,465.0,-77.4,-47.9,4.1,58249,-2.3,-0.3
800,YOKOHAMA RUBBER,Japan,Automobiles & Parts,87.0,-1.5,-0.3,2.1,4142.9,7.5,5.0,223.3,24.4,16.6,5.4,380.4,11.1,23.3,9.2,19770,1.8,2.3
801,EMERGENT BIOSOLUTIONS,US,Pharmaceuticals & Biotechnology,87.0,-0.2,10.3,38.3,226.8,10.9,3.0,30.5,-22.0,23.9,13.4,33.1,52.2,-16.0,14.6,1353,54.3,20.8
802,MARKS & SPENCER,UK,General Retailers,86.7,-47.0,19.0,0.7,12310.9,2.8,1.9,525.5,-31.5,10.4,4.3,725.1,-19.4,-9.9,5.9,85813,5.0,3.2
803,BRUNSWICK,US,Leisure Goods,86.7,13.5,9.1,3.1,2818.9,4.6,5.2,107.4,28.6,40.3,3.8,232.1,10.4,39.8,8.2,15701,-2.9,0.9
804,OMNIVISION TECHNOLOGIES,US,Technology Hardware & Equipment,86.5,9.4,11.6,8.2,1054.3,3.3,15.0,19.7,-51.4,-28.3,1.9,53.6,51.8,-16.3,5.1,2008,   ,11.1
805,TOSOH,Japan,Chemicals,86.2,2.5,-1.0,1.6,5318.0,15.5,4.1,167.8,1.4,-4.3,3.2,283.1,78.4,7.9,5.3,11421,1.4,0.6
806,HERAEUS,Germany,Industrial Metals & Mining,86.0,2.5,9.1,0.5,17040.1,-14.7,-8.2,,   ,   ,0.0,250.0,-28.0,-13.0,1.5,12344,-8.7,   
807,AXIS,Sweden,Technology Hardware & Equipment,86.0,25.0,23.8,16.1,532.4,12.7,17.2,6.9,36.8,22.5,1.3,73.2,7.1,14.0,13.7,1532,19.9,21.8
808,VISMA,Norway,Software & Computer Services,85.9,60.0,29.7,11.2,769.5,12.2,15.7,,   ,   ,0.0,113.5,27.2,14.6,14.8,,   ,   
809,RESMED,US,Health Care Equipment & Services,85.7,-1.6,8.7,7.6,1127.5,2.7,7.7,58.8,13.1,3.6,5.2,298.3,8.5,15.5,26.5,4100,5.1,5.9
810,VATTENFALL,Sweden,Electricity,85.7,-15.4,-26.0,0.4,19379.5,2.6,-7.0,,   ,   ,0.0,-728.4,-125.3,  ,-3.8,31819,-3.0,-7.6
811,KRAFT FOODS,US,Food Producers,85.6,-33.7,-13.9,0.6,13210.1,-0.3,0.8,403.9,26.6,7.5,3.1,3455.2,68.3,17.1,26.2,22500,-2.2,   
812,RAMBUS,US,Technology Hardware & Equipment,85.5,-16.0,8.4,43.5,196.9,16.0,-5.7,7.0,-59.2,-34.7,3.5,18.0,-135.6,-41.3,9.2,447,   ,4.7
813,KANSAI ELECTRIC POWER,Japan,Electricity,85.5,-26.2,-13.1,0.4,22913.5,16.4,6.3,2740.6,-8.9,-5.0,12.0,-493.8,-77.2,  ,-2.2,33657,0.4,1.3
814,FMC,US,Chemicals,85.3,-0.1,3.8,3.0,2809.7,13.6,7.5,160.9,7.4,16.0,5.7,510.9,8.5,15.4,18.2,5600,-1.8,4.6
815,IXIA,US,Software & Computer Services,85.2,19.7,17.5,25.1,338.8,13.0,18.8,9.4,-29.9,-5.2,2.8,15.3,-47.7,18.6,4.5,1846,8.0,18.8
816,TRANSMISSIONS AND ENGINEERING SERVICES NETHERLANDS,The Netherlands,Industrial Engineering,85.0,16.0,17.6,2.6,3209.8,18.2,11.0,,   ,   ,0.0,258.5,-10.3,7.4,8.1,8552,-2.9,6.5
817,INDAP SWEDEN,Sweden,Health Care Equipment & Services,84.5,11.0,11.0,6.9,1223.6,0.6,-12.5,,   ,   ,0.0,8.4,-85.2,  ,0.7,7243,-0.7,-10.8
818,DAINIPPON SCREEN MFG,Japan,Technology Hardware & Equipment,84.5,-3.2,0.4,5.2,1624.8,24.2,-2.5,23.8,-42.7,12.2,1.5,61.3,-227.4,-29.3,3.8,4968,0.3,1.6
819,METTLER-TOLEDO INTERNATIONAL,US,Electronic & Electrical Equipment,84.4,3.4,6.2,4.9,1725.0,1.6,6.5,59.7,-13.9,3.7,3.5,322.9,5.5,10.2,18.7,12500,   ,3.7
820,WILLIAM DEMANT,Denmark,Health Care Equipment & Services,84.3,2.6,3.5,6.8,1233.7,7.6,10.1,54.9,24.6,15.8,4.5,239.0,8.3,7.7,19.4,9120,13.6,13.0
821,ANRITSU,Japan,Electronic & Electrical Equipment,84.2,26.8,9.2,12.0,701.4,7.6,9.4,32.9,6.5,59.1,4.7,96.5,-11.2,32.6,13.8,3880,2.9,2.4
822,BELGACOM,Belgium,Fixed Line Telecommunications,84.0,10.5,7.8,1.3,6239.0,-2.7,-1.6,852.0,10.2,5.1,13.7,887.0,-14.1,-18.0,14.2,15699,-1.0,-3.3
823,ENEL,Italy,Electricity,84.0,-39.6,-1.9,0.1,77258.0,-6.6,2.4,5350.0,-18.0,-6.1,6.9,10407.0,27.5,-2.9,13.5,71394,-3.1,-3.7
824,NISSAN SHATAI,Japan,Automobiles & Parts,83.3,5.7,-3.6,2.6,3265.7,2.0,-2.1,29.4,-8.1,-19.3,0.9,66.5,57.3,-16.4,2.0,4155,-2.3,-4.2
825,CHINA SHIPBUILDING,China,Industrial Engineering,83.1,6.1,20.0,1.4,5907.5,-12.8,-1.8,333.8,-19.7,-3.2,5.6,294.9,-11.2,-18.6,5.0,50319,-10.5,20.2
826,SHANGHAI MECHANICAL & ELECTRICAL INDUSTRY,China,Industrial Engineering,83.0,21.3,19.6,3.6,2310.5,12.0,14.4,40.2,-33.7,5.0,1.7,156.2,38.5,18.2,6.8,3916,-5.6,-5.7
827,NORDDEUTSCHE LANDESBANK GIROZENTRALE,Germany,Banks,83.0,-10.8,16.9,3.3,2547.0,6.0,5.6,,   ,   ,0.0,161.0,106.4,-12.0,6.3,7058,0.7,0.5
828,PITNEY BOWES,US,Technology Hardware & Equipment,83.0,-3.2,-11.0,3.0,2805.7,-1.2,-9.7,99.7,-22.1,4.7,3.6,444.8,-7.5,-10.3,15.9,16100,-41.2,-19.4
829,SHANGHAI ZHENHUA,China,General Industrials,82.8,16.3,10.3,3.1,2712.4,27.7,11.0,41.1,57.8,-34.5,1.5,8.6,-114.3,  ,0.3,6258,12.5,9.4
830,MOCHIDA PHARMACEUTICAL,Japan,Pharmaceuticals & Biotechnology,82.4,-4.5,0.9,12.7,646.9,5.3,5.8,16.8,19.2,-0.3,2.6,114.3,18.4,13.0,17.7,1726,-1.5,0.1
831,INTERMUNE,US,Pharmaceuticals & Biotechnology,82.3,6.5,   ,161.4,51.0,168.7,-33.5,1.6,-32.8,85.5,3.0,-144.0,2.1,  ,-282.4,353,31.2,49.8
832,SILICONWARE PRECISION INDUSTRIES,Taiwan,Technology Hardware & Equipment,82.2,33.4,30.3,4.9,1674.1,7.3,2.8,361.5,-1.1,-0.8,21.6,195.6,17.9,6.7,11.7,,-100.0,-100.0
833,STORA ENSO,Finland,Forestry & Paper,82.0,0.2,0.9,0.8,10544.0,-2.5,0.8,424.0,-24.4,1.9,4.0,27.0,-96.1,-70.2,0.3,28231,-1.9,1.0
834,COCHLEAR,Australia,Health Care Equipment & Services,82.0,2.3,5.4,15.5,527.7,14.8,0.5,15.1,11.5,-16.2,2.9,99.9,-15.0,-13.6,18.9,,   ,   
835,OSHKOSH,US,Industrial Engineering,81.9,3.5,1.1,1.5,5558.0,-5.8,-7.9,43.4,-6.8,-12.5,0.8,368.6,31.0,-29.1,6.6,11900,-9.8,-1.4
836,GN STORE NORD,Denmark,Technology Hardware & Equipment,81.9,10.9,10.3,9.0,909.8,8.6,9.7,45.8,85.9,40.6,5.0,166.3,52.1,-21.5,18.3,5050,6.3,3.7
837,SUMITOMO BAKELITE,Japan,Chemicals,81.8,-3.6,-1.5,5.8,1418.9,12.4,2.6,101.4,-3.0,14.2,7.1,72.4,48.7,-0.5,5.1,5262,0.9,-12.0
838,ROVI,US,Software & Computer Services,81.8,-23.6,5.6,21.0,390.2,2.3,-0.2,13.8,26.8,7.3,3.5,65.2,31.0,-5.1,16.7,1220,-29.9,0.6
839,ALFA LAVAL,Sweden,Industrial Engineering,81.7,3.4,5.6,2.4,3378.9,0.4,6.6,55.9,-6.8,4.9,1.7,491.4,-1.0,-0.4,14.5,16282,1.4,10.5
840,FMC TECHNOLOGIES,US,Industrial Engineering,81.5,-3.8,18.2,1.6,5167.3,15.8,20.0,227.8,-22.6,40.8,4.4,543.2,14.6,10.7,10.5,19300,4.9,18.8
841,OSAKA GAS,Japan,"Gas, Water & Multi-utilities",81.2,8.4,2.6,0.8,10415.8,9.6,8.4,753.5,19.1,17.9,7.2,476.8,-12.7,-7.9,4.6,21250,6.9,2.6
842,SHANDA GAMES,Cayman Islands,Leisure Goods,81.2,9.4,14.6,15.7,516.3,-7.2,-1.2,5.5,-7.0,-16.2,1.1,205.3,17.6,3.8,39.8,3133,34.0,3.4
843,BOLLORE,France,Industrial Transportation,80.9,-38.5,5.5,0.7,10868.4,7.3,15.7,381.6,-10.1,24.8,3.5,631.1,33.0,12.7,5.8,53608,-3.5,15.9
844,PUMA,Germany,Personal Goods,80.8,-14.0,8.3,2.7,2985.3,-8.7,3.3,55.7,-31.4,0.3,1.9,44.8,-60.4,-47.4,1.5,10982,-2.7,5.6
845,SINO BIOPHARMACEUTICAL,Cayman Islands,Pharmaceuticals & Biotechnology,80.7,64.9,57.5,8.7,926.0,18.9,34.3,46.8,28.0,11.4,5.1,166.1,3.5,18.1,17.9,9072,-12.5,1.8
846,GROUPE SEB,France,Household Goods & Home Construction,80.5,6.8,5.7,1.9,4161.3,2.5,4.4,114.2,2.6,-1.8,2.7,363.9,-1.0,1.4,8.7,24682,-0.3,2.3
847,SUMITOMO RIKO,Japan,Automobiles & Parts,80.4,20.4,12.6,3.2,2541.6,40.0,10.6,217.3,23.5,34.5,8.6,92.5,78.3,-5.6,3.6,22546,25.0,18.5
848,KING DIGITAL ENTERTAINMENT,Ireland,Software & Computer Services,80.1,286.4,138.4,5.9,1366.3,1046.1,218.3,11.1,467.6,135.8,0.8,519.8,5928.2,718.8,38.0,,   ,   
849,HAGER,Germany,Industrial Engineering,79.9,12.7,12.1,5.5,1448.8,5.4,7.5,,   ,   ,0.0,138.0,16.2,18.1,9.5,10681,-3.1,3.2
850,CSG SYSTEMS INTERNATIONAL,US,Software & Computer Services,79.8,-2.6,12.1,14.7,542.0,-1.2,10.8,27.0,-1.8,24.9,5.0,64.6,-10.0,4.2,11.9,3398,-4.1,-1.1
851,MANNKIND,US,Pharmaceuticals & Biotechnology,79.6,8.1,-0.8,   ,,-100.0,-100.0,5.8,1153.8,-5.8,   ,-122.8,20.6,3.6,   ,265,7.7,-15.3
852,CAE,Canada,Aerospace & Defence,79.4,5.7,20.2,5.5,1441.3,3.9,9.1,107.3,62.8,12.2,7.4,194.0,30.0,1.9,13.5,,   ,   
853,ARISTOCRAT LEISURE,Australia,Travel & Leisure,79.3,32.4,2.6,15.3,519.8,39.0,5.9,21.2,20.7,-4.5,4.1,91.3,115.1,9.1,17.6,2173,1.8,-0.1
854,MAHINDRA & MAHINDRA,India,Automobiles & Parts,79.1,1.2,19.2,1.0,7840.8,6.8,29.2,429.4,11.4,11.4,5.5,367.0,-1.1,-0.4,4.7,40163,106.7,31.7
855,DISCO,Japan,Technology Hardware & Equipment,78.9,11.6,5.4,10.9,722.5,12.0,1.7,87.6,134.3,18.7,12.1,119.5,57.7,3.5,16.5,3073,5.6,6.2
856,CARL BENNET,Sweden,Support Services,78.8,764.4,121.5,2.1,3775.6,310.9,87.1,,   ,   ,0.0,502.4,638.9,73.0,13.3,19559,316.4,73.8
857,LEAR,US,Automobiles & Parts,78.6,3.9,10.0,0.7,11771.4,11.4,10.7,334.0,0.5,33.6,2.8,548.5,0.3,10.0,4.7,122300,7.8,13.6
858,TAIWAN POWER,Taiwan,Electricity,78.4,-1.5,14.2,0.5,14308.5,8.3,5.1,,   ,   ,0.0,66.4,-106.1,  ,0.5,,-100.0,-100.0
859,KYORIN,Japan,Pharmaceuticals & Biotechnology,78.2,2.7,-3.1,10.2,767.1,4.1,2.3,18.1,-56.1,27.2,2.4,121.2,-1.9,2.3,15.8,2452,0.3,2.2
860,BANK OF IRELAND,UK,Banks,78.0,13.0,30.6,3.1,2550.0,49.5,-7.7,,   ,   ,0.0,-525.0,-75.9,-17.9,-20.6,11255,-6.3,-7.6
861,TELENOR,Norway,Mobile Telecommunications,77.9,12.6,-2.1,0.6,12406.4,2.3,3.1,1861.9,-7.6,5.2,15.0,2357.7,55.7,16.1,19.0,32000,3.2,-1.0
862,KISSEI PHARMACEUTICAL,Japan,Pharmaceuticals & Biotechnology,77.8,9.6,-2.1,16.0,484.8,12.7,3.0,13.1,17.1,3.4,2.7,84.1,57.4,23.7,17.4,1883,-0.7,-0.5
863,LOTTOMATICA,Italy,Travel & Leisure,77.6,7.5,12.3,2.5,3062.8,-0.4,9.8,10.4,1.7,-0.2,0.3,559.1,-4.1,19.9,18.3,8583,0.0,4.1
