EU R&D Scoreboard 2015 :  World - 2500 companies ranked by R&D,,,,,,,,,,,,,,,,,,,,,
, , ,Industrial sector , R&D 2014, R&D 1 year growth, R&D 3 years growth,Sales 2014,Sales 1 year growth,Sales 3 years growth,R&D intensity,Capex 2014,Capex 1 year growth,Capex 3 years growth,Capex int.,Profits 2014,Profits 1 year growth,Profits 3 years growth,Profitability,Employees 2014,Employees 1-year growth,Employees 3-years growth
world rank,Name,Country,(ICB-3D),(€million),(%),"(CAGR-3y, %)",(€million),(%),"(CAGR-3y, %)",(%),(€million),(%),"(CAGR-3y, %)",(%),(€million),(%),"(CAGR-3y, %)",(%), ,(%),"(CAGR-3y, %)"
791,PHOENIX CONTACT,Germany,Electronic & Electrical Equipment,98.2,12.8,11.4,"1,601.9",2.3,4.7,6.1,,,,0.0,121.0,-43.6,-4.4,7.6,"12,514",6.7,5.1
792,PAR PHARMACEUTICAL COMPANIES,US,Pharmaceuticals & Biotechnology,98.1,18.2,29.4,"1,077.9",19.2,5.8,9.1,,,,0.0,23.8,-176.1,,2.2,,,-100.0
793,ALERE,US,Health Care Equipment & Services,98.0,-19.3,2.5,"2,132.2",-1.1,3.1,4.6,82.8,0.7,-9.0,3.9,129.5,-5.2,,6.1,"9,800",-44.3,6.7
794,ARISTOCRAT LEISURE,Australia,Travel & Leisure,97.9,17.4,5.4,584.3,6.9,4.7,16.8,42.9,92.3,-16.4,7.3,44.8,-52.7,9.9,7.7,"2,274",,-100.0
795,TESARO,US,Pharmaceuticals & Biotechnology,97.5,56.4,86.0,,,,,21.3,"1,007.3",57.6,,-137.8,80.9,81.6,,108,74.2,51.0
796,DOVER,US,Industrial Engineering,97.5,-36.2,1.9,"6,385.6",8.4,-1.0,1.5,136.8,17.2,-18.6,2.1,"1,038.0",7.6,1.2,16.3,"27,000",-27.0,2.9
797,TOYO SEIKAN KAISHA,Japan,General Industrials,97.5,-1.5,0.9,"5,355.1",-0.1,3.8,1.8,362.7,-22.4,4.0,6.8,67.5,-48.2,8.2,1.3,"18,446",0.6,1.0
798,MITEL NETWORKS,Canada,Technology Hardware & Equipment,97.4,208.9,-13.2,909.3,209.0,-16.4,10.7,11.1,365.5,-40.3,1.2,0.8,-60.0,-56.3,0.1,,,
799,TOPPAN PRINTING,Japan,Support Services,97.4,-4.1,-2.8,"10,424.8",-0.3,0.5,0.9,468.5,4.5,-1.7,4.5,259.1,12.2,26.3,2.5,"48,999",0.6,0.6
800,SHISEIDO,Japan,Personal Goods,97.1,5.1,-2.6,"5,309.6",2.1,3.7,1.8,106.6,-13.1,0.5,2.0,188.5,-43.3,7.6,3.6,"33,000",-0.2,0.5
801,KURARAY,Japan,Chemicals,96.8,-17.1,1.9,"2,808.8",-0.5,3.9,3.4,296.2,-25.7,15.2,10.5,273.2,-19.0,-1.8,9.7,"8,316",10.1,3.7
802,PENTAIR,Ireland,Industrial Engineering,96.6,-6.8,17.2,"5,797.7",-5.9,29.3,1.7,106.7,-23.8,32.3,1.8,701.7,9.8,65.7,12.1,"28,400",-0.7,23.2
803,EPICOR SOFTWARE,US,Software & Computer Services,96.0,2.4,47.2,819.5,3.5,21.8,11.7,,,,0.0,61.6,20.7,11.5,7.5,,,
804,RICHEMONT,Switzerland,General Retailers,96.0,7.9,2.4,"10,410.0",-2.2,6.3,0.9,601.0,4.0,6.8,5.8,"2,436.0",0.7,5.1,23.4,"28,324",-2.7,5.7
805,DAICEL CHEMICAL INDUSTRIES,Japan,Chemicals,95.8,5.0,1.6,"3,029.8",7.2,6.6,3.2,198.4,7.3,17.3,6.5,349.7,35.1,23.7,11.5,"10,173",4.9,6.0
806,VALLOUREC,France,Industrial Engineering,95.7,9.6,3.9,"5,700.5",2.2,1.7,1.7,388.2,-31.5,-14.6,6.8,-617.4,-198.6,-2.4,-10.8,"23,157",1.1,1.6
807,GN STORE NORD,Denmark,Technology Hardware & Equipment,95.7,16.4,6.8,987.6,8.1,6.9,9.7,47.0,2.0,49.2,4.8,162.8,-2.5,-0.4,16.5,"5,075",0.5,2.6
808,DAINIPPON SCREEN MFG,Japan,Technology Hardware & Equipment,95.4,13.8,-4.0,"1,622.5",0.7,-1.9,5.9,31.8,34.6,-8.3,2.0,116.0,90.8,-5.7,7.1,"5,082",2.3,0.5
809,ENTROPIC COMMUNICATIONS,US,Technology Hardware & Equipment,95.2,8.5,24.1,157.8,-26.1,2.5,60.3,,,,0.0,-70.5,92.1,,-44.6,316,-50.5,22.9
810,NGK INSULATORS,Japan,General Industrials,95.2,15.6,4.6,"2,585.3",22.7,7.6,3.7,206.6,8.1,0.3,8.0,419.6,58.2,14.2,16.2,"16,217",22.8,2.2
811,SPIRENT COMMUNICATIONS,UK,Technology Hardware & Equipment,95.0,14.8,4.5,376.6,10.6,-7.8,25.2,26.5,40.6,3.3,7.0,19.3,-41.2,-31.2,5.1,"1,727",14.1,-0.6
812,AMERICAN AXLE & MANUFACTURING,US,Automobiles & Parts,95.0,3.7,-0.7,"3,044.2",15.2,7.5,3.1,170.1,-18.0,12.6,5.6,220.4,11.4,2.5,7.2,"12,820",1.3,11.2
813,IXIA,US,Software & Computer Services,94.8,-2.0,16.1,382.6,-0.6,14.5,24.8,7.3,-32.2,-6.0,1.9,-25.4,-246.3,-16.6,-6.6,"1,755",-4.9,12.4
814,MEAD JOHNSON NUTRITION,US,Food Producers,94.8,9.2,4.4,"3,631.7",5.0,4.5,2.6,153.7,-22.4,30.0,4.2,806.2,-4.7,6.1,22.2,"7,700",6.9,2.9
815,INDIVIOR,UK,Pharmaceuticals & Biotechnology,94.7,51.3,29.5,918.4,-8.3,-1.0,10.3,,-100.0,-9.1,0.0,452.2,-21.0,-7.3,49.2,741,5.9,4.4
816,UBE INDUSTRIES,Japan,General Industrials,94.6,-0.4,0.3,"4,381.5",-1.3,0.6,2.2,286.5,15.7,-5.1,6.5,154.0,-7.1,-18.0,3.5,"10,702",-4.7,0.4
817,RESMED,US,Health Care Equipment & Services,94.6,-2.8,2.5,"1,382.8",8.0,4.3,6.8,59.3,-11.4,9.9,4.3,337.1,-0.5,12.0,24.4,"4,340",5.9,3.5
818,AMPHENOL,US,Electronic & Electrical Equipment,94.6,11.0,5.2,"4,402.8",15.8,5.4,2.1,172.2,32.0,16.5,3.9,863.8,16.2,6.0,19.6,"50,700",13.9,4.4
819,HANWHA,South Korea,General Industrials,94.5,-29.0,67.6,"28,064.7",-3.3,47.0,0.3,656.8,-18.8,50.4,2.3,386.5,-40.3,41.2,1.4,,,
820,ISIS PHARMACEUTICALS,US,Pharmaceuticals & Biotechnology,94.4,212.4,-11.7,176.4,45.4,14.1,53.5,6.2,384.4,-46.6,3.5,-39.3,-7.6,-10.1,-22.3,390,28.3,-3.4
821,SILICONWARE PRECISION INDUSTRIES,Taiwan,Technology Hardware & Equipment,94.3,6.5,19.4,"2,159.4",19.8,4.2,4.4,508.5,30.6,10.9,23.5,363.8,72.6,13.6,16.8,,,-100.0
822,OKI ELECTRIC,Japan,Technology Hardware & Equipment,93.9,6.1,-0.4,"3,687.8",11.8,4.1,2.5,72.4,36.4,-3.9,2.0,221.3,20.0,16.0,6.0,"20,653",-2.1,8.0
823,ASHLAND,US,Chemicals,93.9,-36.0,26.0,"5,041.6",0.5,-2.2,1.9,204.3,-6.1,9.5,4.1,168.8,-80.7,109.9,3.3,"11,000",-26.7,0.0
824,BELDEN,US,Electronic & Electrical Equipment,93.8,36.8,15.0,"1,901.2",11.6,3.2,4.9,37.4,13.1,0.1,2.0,131.1,-17.2,8.2,6.9,"8,600",13.2,0.4
825,HISAMITSU PHARMACEUTICAL,Japan,Pharmaceuticals & Biotechnology,93.7,-1.5,-1.9,"1,070.1",4.1,3.0,8.8,32.0,14.7,-25.4,3.0,140.1,7.3,-9.7,13.1,"2,942",-0.2,2.8
826,TRANSMISSIONS AND ENGINEERING SERVICES NETHERLANDS,The Netherlands,Industrial Engineering,93.2,1.8,7.0,"3,237.6",0.9,-0.4,2.9,,,,0.0,269.1,4.1,-7.7,8.3,"8,616",0.7,0.9
827,CAMPBELL SOUP,US,Food Producers,93.1,-6.6,-1.1,"6,656.8",-2.2,4.8,1.4,313.0,9.5,2.4,4.7,981.8,-4.9,2.5,14.7,"18,600",-4.1,3.1
828,HYOSUNG,South Korea,General Industrials,93.0,-6.7,0.4,"9,123.8",-3.2,3.5,1.0,598.9,17.0,-15.7,6.6,449.8,23.6,20.5,4.9,,,
829,ZEON,Japan,Chemicals,93.0,7.6,4.5,"2,099.6",3.7,4.1,4.4,172.4,2.9,6.3,8.2,184.2,-9.8,-2.1,8.8,"3,216",0.9,3.7
830,HEIWA,Japan,Industrial Engineering,93.0,5.9,17.7,"1,356.0",9.4,24.0,6.9,70.7,10.8,54.6,5.2,288.8,15.4,20.9,21.3,"4,613",-5.8,-1.7
831,CIPLA,India,Pharmaceuticals & Biotechnology,92.9,39.5,18.7,"1,415.3",10.8,12.6,6.6,84.0,13.5,0.5,5.9,176.2,-23.1,7.5,12.5,"23,472",,
832,OLD MUTUAL,UK,Life insurance,92.6,-14.3,-0.8,,,,,,,,,"-10,136.6",-28.8,87.2,,,-100.0,-0.4
833,KYORIN,Japan,Pharmaceuticals & Biotechnology,92.3,19.0,-6.7,772.3,1.5,2.6,11.9,36.8,105.3,15.9,4.8,85.4,-29.0,6.8,11.1,"2,445",-0.3,2.2
834,RIO TINTO,UK,Mining,92.2,-51.5,16.0,"39,258.7",-6.9,-5.4,0.2,"6,722.7",-37.2,1.8,17.1,"11,798.9",70.9,-29.3,30.1,"59,775",-9.9,-0.8
835,MICROSTRATEGY,US,Software & Computer Services,92.0,8.0,9.6,477.6,0.7,2.3,19.3,17.1,26.2,-27.1,3.6,16.3,2.0,-2.3,3.4,"2,470",-21.8,0.7
836,YOKOHAMA RUBBER,Japan,Automobiles & Parts,91.7,6.4,10.7,"4,268.8",3.9,9.0,2.1,360.0,62.6,11.8,8.4,403.3,6.9,28.1,9.4,"21,441",8.5,0.9
837,DMG MORI AG,Germany,Industrial Engineering,91.4,76.1,-0.7,"2,229.0",8.5,6.8,4.1,111.5,33.0,23.9,5.0,172.6,4.8,29.8,7.7,"7,166",6.6,3.7
838,GEA,Germany,Industrial Engineering,91.4,4.9,1.1,"4,515.7",4.5,-7.3,2.0,93.8,-22.2,-8.1,2.1,434.3,3.9,-1.1,9.6,"18,247",-26.9,1.5
839,TABLEAU SOFTWARE,US,Software & Computer Services,91.4,82.5,49.0,339.9,77.5,55.0,26.9,30.3,108.7,52.9,8.9,5.2,72.4,-2.2,1.5,"1,947",60.6,
840,WATERS,US,Health Care Equipment & Services,91.2,6.9,8.4,"1,638.5",4.5,0.9,5.6,87.5,-10.3,11.5,5.3,431.5,1.3,-0.7,26.3,"6,200",3.3,1.7
841,HAIMA AUTOMOBILE GROUP,China,Automobiles & Parts,91.2,34.2,,"1,479.3",21.6,-2.9,6.2,74.4,12.9,-17.2,5.0,38.6,-42.8,17.2,2.6,"9,492",6.3,4.7
842,NETSUITE,US,Software & Computer Services,91.2,35.8,22.1,458.2,34.2,20.6,19.9,21.7,17.5,33.5,4.7,-68.6,37.1,26.3,-15.0,"3,357",37.9,24.4
843,CHUNGHWA TELECOM,Taiwan,Fixed Line Telecommunications,91.1,-5.9,1.9,"5,890.7",-0.6,1.6,1.5,846.4,-10.5,10.6,14.4,"1,199.1",-5.4,-4.4,20.4,"32,596",,-100.0
844,IDEXX LABORATORIES,US,Health Care Equipment & Services,90.7,11.4,6.6,"1,223.8",7.9,4.2,7.4,50.0,-22.8,15.8,4.1,214.4,-2.4,4.1,17.5,"6,400",12.3,3.8
845,DISCO,Japan,Technology Hardware & Equipment,90.7,15.9,7.1,859.7,20.0,5.5,10.5,72.7,-16.4,17.2,8.5,181.8,53.5,17.6,21.2,"2,891",-5.9,3.8
846,RAMBUS,US,Technology Hardware & Equipment,90.6,-6.7,0.7,244.3,9.2,-4.6,37.1,5.9,-24.9,-22.5,2.4,60.4,167.0,-21.7,24.7,505,13.0,-0.7
847,IDEMITSU KOSAN,Japan,Oil & Gas Producers,90.4,-6.3,-2.0,"31,608.9",-8.0,5.3,0.3,762.6,18.2,19.7,2.4,"-1,196.9",-396.4,-24.3,-3.8,"8,829",0.9,2.0
848,BARCO,Belgium,Electronic & Electrical Equipment,90.2,-16.2,8.9,908.4,-21.6,3.6,9.9,69.7,204.9,4.0,7.7,27.5,-66.2,11.3,3.0,"3,321",-16.5,4.1
849,DRB-HICOM,Malaysia,Automobiles & Parts,90.2,59.5,,"3,225.8",-3.6,27.3,2.8,212.1,-6.1,53.7,6.6,122.2,-39.2,-20.3,3.8,"60,000",0.0,4.9
850,FOSUN INTERNATIONAL,China,Pharmaceuticals & Biotechnology,89.8,32.9,18.6,"8,310.4",21.0,-3.5,1.1,625.3,-28.0,25.6,7.5,"1,456.3",6.6,11.9,17.5,,-100.0,5.1
851,ZUMTOBEL,Austria,Electronic & Electrical Equipment,89.7,25.0,9.2,"1,312.6",5.3,-0.9,6.8,76.6,16.8,4.7,5.8,41.1,238.4,-29.5,3.1,"7,234",-0.8,-0.7
852,AAC TECHNOLOGIES HOLDINGS,China,Electronic & Electrical Equipment,89.6,15.2,16.5,"1,195.2",9.7,25.9,7.5,224.3,135.8,-12.1,18.8,345.9,-9.2,33.6,28.9,"32,172",39.8,18.6
853,ROVI,US,Software & Computer Services,89.6,-3.6,-11.5,446.7,0.9,-2.7,20.1,42.3,169.5,0.3,9.5,78.0,4.0,-8.2,17.5,"1,200",-1.6,-15.5
854,ULTIMATE SOFTWARE,US,Software & Computer Services,89.6,25.3,19.1,416.7,23.3,15.1,21.5,31.4,25.2,30.6,7.5,44.8,25.8,38.0,10.7,"2,354",23.1,12.9
855,PEGASYSTEMS,US,Software & Computer Services,89.4,36.2,6.9,486.0,15.9,6.9,18.4,9.4,104.8,-17.1,1.9,43.0,-14.6,77.6,8.9,"2,970",,-100.0
856,TI FLUID SYSTEMS,UK,Automobiles & Parts,89.3,59.0,11.6,"2,689.9",-1.0,5.4,3.3,,,,0.0,131.7,-46.5,13.2,4.9,"24,825",24.1,-0.2
857,SALZGITTER,Germany,Industrial Metals & Mining,89.1,1.4,3.7,"9,040.2",-2.9,-1.8,1.0,294.6,-5.0,-5.1,3.3,56.7,-122.0,218.2,0.6,"25,529",-0.6,3.2
858,VISMA,Norway,Software & Computer Services,89.0,11.5,25.8,789.2,10.3,7.9,11.3,,,,0.0,115.3,9.3,15.2,14.6,,,
859,GALENICA,Switzerland,Pharmaceuticals & Biotechnology,88.9,-14.8,-2.0,"2,844.8",1.7,1.8,3.1,49.9,4.7,3.4,1.8,300.6,-5.8,6.5,10.6,"6,348",-0.1,2.3
860,SHANDA GAMES,China,Leisure Goods,88.5,-3.8,0.3,500.4,-14.4,-6.3,17.7,5.1,-19.3,-29.4,1.0,159.4,-31.5,1.9,31.9,"2,546",-18.7,7.6
861,GEELY AUTOMOBILE,China,Automobiles & Parts,88.5,74.2,,"2,926.1",-24.3,11.0,3.0,113.2,-9.6,-13.2,3.9,345.0,-27.8,12.1,11.8,"18,481",1.9,1.6
862,NIPPON KAYAKU,Japan,Chemicals,88.4,-2.5,0.4,"1,105.1",1.1,2.9,8.0,98.9,-15.2,18.0,8.9,152.3,-7.2,7.4,13.8,"5,165",7.7,1.5
863,ANRITSU,Japan,Electronic & Electrical Equipment,88.3,5.8,6.9,674.8,-3.0,2.8,13.1,34.2,5.1,25.9,5.1,69.3,-27.6,-2.1,10.3,"3,926",1.2,
864,APPLIED MICRO CIRCUITS,US,Technology Hardware & Equipment,88.3,-26.9,-7.3,135.9,-23.7,-2.2,65.0,8.0,64.2,-23.4,5.9,-39.7,416.2,-52.2,-29.2,507,-14.2,-6.7
865,GEORG FISCHER,Switzerland,Industrial Engineering,88.3,11.6,0.0,"3,160.2",0.8,1.2,2.8,126.6,16.9,-4.0,4.0,224.0,-9.4,9.7,7.1,"14,140",0.5,1.1
866,GLORY,Japan,Industrial Engineering,88.1,-2.1,9.9,"1,549.6",3.8,14.2,5.7,50.3,36.7,18.7,3.2,130.4,14.3,14.8,8.4,"7,802",-0.4,8.4
867,PITNEY BOWES,US,Technology Hardware & Equipment,88.1,-6.5,-5.2,"3,147.6",0.8,-2.8,2.8,148.7,31.3,-4.1,4.7,503.5,2.9,-6.2,16.0,"15,200",-5.6,-17.5
868,TENARIS,Luxembourg,"Oil Equipment, Services & Distribution",88.0,1.2,15.6,"8,514.9",-2.4,2.0,1.0,52.2,-91.6,-4.4,0.6,"1,593.3",-11.5,4.9,18.7,"27,816",3.7,-0.2
869,TOSOH,Japan,Chemicals,87.9,2.9,-1.0,"5,528.0",4.8,4.0,1.6,233.0,40.1,8.0,4.2,343.5,22.4,21.7,6.2,"11,594",1.5,0.5
870,BTG,UK,Pharmaceuticals & Biotechnology,87.8,43.2,6.3,472.8,26.6,13.8,18.6,12.6,-15.5,46.4,2.7,48.6,-7.8,30.6,10.3,986,27.1,15.9
871,REPSOL YPF,Spain,Oil & Gas Producers,87.0,-22.3,11.0,"45,433.0",-18.5,-2.5,0.2,"2,606.0",,,5.7,-784.0,-128.7,-7.7,-1.7,"24,289",-19.8,-13.4
872,THERAVANCE BIOPHARMA,US,Pharmaceuticals & Biotechnology,86.9,41.4,-8.9,9.6,"5,071.7",,903.0,2.6,13.6,,26.6,-191.5,48.8,,"-1,989.6",287,,
873,WILLIAM DEMANT,Denmark,Health Care Equipment & Services,86.8,2.5,1.8,"1,257.5",1.5,4.6,6.9,60.8,10.2,0.2,4.8,236.7,-1.4,1.4,18.8,"9,799",7.4,7.3
874,LS INDUSTRIAL SYSTEMS,South Korea,Electronic & Electrical Equipment,86.5,32.2,8.9,"1,718.8",-2.5,4.3,5.0,67.9,4.3,-18.7,3.9,118.1,-9.9,10.0,6.9,,,
875,COCHLEAR,Australia,Health Care Equipment & Services,86.5,0.3,2.3,554.5,14.8,-4.1,15.6,15.9,11.5,-19.2,2.9,105.0,-15.0,-8.8,18.9,,,
876,SHANGHAI TUNNEL ENGINEERING,China,Construction & Materials,86.5,32.0,5.7,"3,311.0",8.5,6.2,2.6,"1,173.0",75.0,25.6,35.4,134.5,0.4,6.3,4.1,"9,200",3.5,15.3
877,CSG SYSTEMS INTERNATIONAL,US,Software & Computer Services,86.2,-4.8,-0.3,618.8,0.5,0.6,13.9,26.0,-15.0,5.9,4.2,73.8,0.6,-5.1,11.9,"3,448",1.5,0.5
878,GROUPE SEB,France,Household Goods & Home Construction,86.2,7.1,5.4,"4,253.1",2.2,1.6,2.0,187.6,64.3,0.7,4.4,306.8,-15.7,-3.4,7.2,"25,453",3.1,1.0
879,PACE,UK,Technology Hardware & Equipment,86.1,-25.3,-6.2,"2,158.0",6.1,2.3,4.0,21.4,20.4,-19.6,1.0,154.2,31.1,23.8,7.1,"2,014",-1.8,8.0
880,HERAEUS,Germany,Industrial Metals & Mining,85.8,-0.2,4.2,"15,588.9",-8.5,-13.3,0.6,,,,0.0,187.3,-25.1,-19.1,1.2,"12,509",1.3,
881,AMP,Australia,Life insurance,85.8,-33.2,46.0,"1,398.4",3.0,26.1,6.1,,,,0.0,"-1,433.5",-17.4,18.7,-102.5,"5,700",-2.2,16.4
882,DEALERTRACK TECHNOLOGIES,US,Software & Computer Services,85.8,585.0,1.0,703.7,77.4,10.9,12.2,70.5,76.9,17.8,10.0,-10.0,-210.2,-8.1,-1.4,"3,900",56.0,9.6
883,XYLEM,US,"Gas, Water & Multi-utilities",85.7,0.0,1.3,"3,225.4",2.1,0.3,2.7,98.0,-5.6,0.0,3.0,402.8,19.6,-6.2,12.5,"12,500",0.0,0.0
884,INFOSYS,India,Software & Computer Services,85.6,-26.4,10.9,"6,934.4",6.4,14.1,1.2,,-100.0,21.5,0.0,"2,266.9",12.8,10.4,32.7,"176,187",9.8,2.3
885,BUCHER INDUSTRIES,Switzerland,Industrial Engineering,85.4,13.1,6.8,"2,336.3",4.3,4.8,3.7,93.3,-15.5,4.4,4.0,209.0,-2.5,29.1,8.9,"11,554",5.8,2.5
886,TRULY INTERNATIONAL,China,Leisure Goods,85.3,2.6,27.6,"2,274.4",3.6,25.3,3.8,231.4,84.0,15.7,10.2,183.3,-20.3,35.3,8.1,"30,000",15.4,15.0
887,RECORDATI,Italy,Pharmaceuticals & Biotechnology,85.3,14.1,10.1,987.4,4.9,7.3,8.6,22.2,,,2.3,231.8,17.9,6.3,23.5,"3,923",-1.0,7.3
888,KINGFA SCIENCE & TECHNOLOGY,China,General Industrials,84.9,8.7,10.9,"2,152.5",11.4,7.6,3.9,119.6,16.5,-2.8,5.6,110.8,-2.1,-5.7,5.1,"5,654",14.1,24.1
889,TATE & LYLE,UK,Food Producers,84.8,-26.7,15.1,"3,028.8",-14.5,-3.7,2.8,155.6,18.6,0.0,5.1,225.0,-33.2,-8.2,7.4,"4,064",5.7,-3.5
890,PALL,US,Industrial Engineering,84.5,8.9,2.8,"2,297.3",5.3,1.7,3.7,,,,0.0,419.3,8.9,4.1,18.3,"10,400",6.1,-3.5
891,AVERY DENNISON,US,Chemicals,84.4,6.8,1.3,"5,214.0",3.1,1.7,1.6,144.1,-3.5,10.2,2.8,398.6,4.4,12.3,7.6,"25,000",-3.8,-5.1
892,ANDRITZ,Austria,Industrial Engineering,84.3,-9.0,12.2,"5,859.3",2.6,7.5,1.4,106.5,-4.4,13.1,1.8,306.4,233.4,-29.6,5.2,"24,853",4.8,12.3
893,TIVO,US,Leisure Goods,84.2,-4.4,-1.1,371.9,11.1,19.5,22.6,5.3,2.5,5.9,1.4,54.3,177.5,,14.6,625,-0.2,-0.3
894,LONZA,Switzerland,Chemicals,84.1,-11.4,6.6,"3,031.1",1.6,10.0,2.8,131.6,-18.6,-7.9,4.3,352.2,67.2,-1.0,11.6,"9,809",-1.3,-3.3
895,LOTTOMATICA,Italy,Travel & Leisure,84.1,8.4,9.7,"3,069.7",0.2,1.0,2.7,,,,0.0,593.4,6.7,0.9,19.3,"8,737",0.1,3.3
896,ADVANTECH,Taiwan,Technology Hardware & Equipment,84.1,17.2,4.4,928.8,16.5,5.1,9.1,31.6,-23.2,-10.6,3.4,150.4,18.6,4.4,16.2,,,-100.0
897,LEAR,US,Automobiles & Parts,84.0,-5.9,-0.7,"14,601.2",9.2,4.7,0.6,349.8,-7.8,11.8,2.4,791.5,27.0,1.5,5.4,"125,200",2.4,7.7
898,CEPHEID,US,Pharmaceuticals & Biotechnology,84.0,40.3,15.4,387.2,17.2,13.1,21.7,38.7,-3.4,33.2,10.0,-7.4,5.1,,-1.9,"1,400",16.7,18.7
899,PROXIMUS,Belgium,Fixed Line Telecommunications,84.0,0.0,6.3,"5,961.0",-4.5,-0.6,1.4,951.0,11.6,4.0,16.0,917.0,1.4,-8.1,15.4,"14,187",-9.6,-0.2
900,ARLA FOODS,Denmark,Food Producers,84.0,26.9,50.6,"10,614.0",7.6,10.1,0.8,,,,0.0,361.0,-9.6,21.3,3.4,"19,155",-2.2,4.0
901,COOPER-STANDARD HOLDINGS,US,Automobiles & Parts,84.0,21.5,0.0,"2,671.9",5.0,2.7,3.1,158.2,4.8,19.2,5.9,149.8,11.0,-2.6,5.6,"27,000",6.7,5.6
902,CHENG SHIN RUBBER INDUSTRY,Taiwan,Automobiles & Parts,83.9,8.3,15.6,"3,353.7",-3.1,3.5,2.5,329.8,-12.5,-19.0,9.8,576.9,-3.7,24.5,17.2,,,-100.0
903,IRONWOOD PHARMACEUTICALS,US,Pharmaceuticals & Biotechnology,83.9,-0.5,71.7,63.0,234.1,-29.7,133.3,2.9,-63.1,-0.3,4.6,-139.5,-32.8,56.2,-221.6,464,-13.1,24.6
904,TAIWAN POWER,Taiwan,Electricity,83.8,-0.7,8.5,"16,708.1",8.4,4.2,0.5,,,,0.0,904.5,"1,165.4",,5.4,,,-100.0
905,ALFA LAVAL,Sweden,Industrial Engineering,83.6,13.1,2.7,"3,733.3",17.7,1.3,2.2,64.2,22.6,-3.9,1.7,497.3,7.3,-2.5,13.3,"17,753",9.2,3.5
906,QISDA,Taiwan,Technology Hardware & Equipment,83.4,10.5,-2.7,"3,470.6",12.0,-0.8,2.4,36.7,-27.5,-16.0,1.1,116.1,79.4,18.6,3.3,,,-100.0
907,AKER SOLUTIONS,Norway,Industrial Engineering,83.4,-29.1,31.7,"5,006.4",-11.1,11.7,1.7,144.3,-50.9,-7.8,2.9,77.5,-66.3,-6.9,1.5,"7,609",1.7,-25.9
908,CELLDEX THERAPEUTICS,US,Pharmaceuticals & Biotechnology,83.0,53.6,26.7,3.0,-12.8,-23.7,"2,810.8",1.6,-54.3,102.4,53.8,-100.8,50.3,23.3,"-3,414.1",163,33.6,5.8
909,STADA ARZNEIMITTEL,Germany,Pharmaceuticals & Biotechnology,83.0,12.5,7.4,"2,062.2",2.9,5.3,4.0,37.5,10.5,15.6,1.8,217.9,-17.9,28.3,10.6,"10,363",5.5,7.5
910,YAKULT HONSHA,Japan,Food Producers,82.8,8.7,-3.5,"2,512.3",5.0,3.9,3.3,308.2,4.5,27.8,12.3,237.1,9.9,14.9,9.4,"22,036",7.5,3.4
911,ALLISON TRANSMISSION,US,Software & Computer Services,82.8,10.6,-3.4,"1,752.2",10.4,-3.8,4.7,57.6,-16.0,-5.0,3.3,420.1,26.0,-1.9,24.0,"2,700",0.0,-1.2
912,TECHNIP,France,"Oil Equipment, Services & Distribution",82.6,9.4,5.0,"10,073.9",13.9,9.1,0.8,359.6,-34.8,17.6,3.6,714.0,-15.0,6.7,7.1,"38,297",-1.4,7.7
913,SUPER MICRO COMPUTER,US,Technology Hardware & Equipment,82.6,19.0,9.5,"1,640.0",35.7,13.1,5.0,28.9,-13.5,17.7,1.8,120.9,82.8,20.4,7.4,"2,247",22.3,7.7
914,SERCO,UK,Support Services,82.4,34.1,-18.5,"5,084.4",-7.7,-2.7,1.6,30.1,-39.8,-7.8,0.6,"-1,651.3","-1,025.4",-20.3,-32.5,"95,455",0.5,7.4
915,BUHLER,Switzerland,Industrial Engineering,82.4,-8.9,6.9,"1,942.1",0.4,2.9,4.2,,,,0.0,120.4,5.5,-14.3,6.2,"10,575",-0.8,6.5
916,FEI,US,Technology Hardware & Equipment,82.2,4.0,8.4,787.6,3.1,3.9,10.4,40.8,-20.7,65.5,5.2,121.8,-6.0,6.5,15.5,"2,660",1.9,9.2
917,KANSAI ELECTRIC POWER,Japan,Electricity,82.2,-3.1,-11.9,"23,254.3",2.4,5.8,0.4,"2,839.2",4.5,-1.0,12.2,-536.6,9.6,-32.1,-2.3,"33,539",-0.4,0.7
918,NATIONAL BANK OF GREECE,Greece,Banks,82.0,30.2,-0.8,"3,565.0",0.2,-6.6,2.3,,,,0.0,"-1,422.0",694.4,-76.3,-39.9,"34,628",-4.6,0.4
919,HORIBA,Japan,Electronic & Electrical Equipment,81.8,11.2,2.3,"1,045.0",10.8,3.8,7.8,53.3,29.2,12.8,5.1,117.2,26.8,-2.9,11.2,"5,965",3.1,2.0
920,SHIMANO,Japan,Leisure Goods,81.7,8.1,3.4,"2,274.7",22.9,6.9,3.6,193.2,31.6,20.2,8.5,439.0,53.9,9.6,19.3,"13,342",2.9,3.8
921,CHINA TELECOM,China,Technology Hardware & Equipment,81.7,-3.7,4.1,"43,665.4",0.9,9.5,0.2,"10,805.2",13.2,13.5,24.7,"3,837.4",1.3,5.3,8.8,"300,960",-1.8,-0.4
922,VIASAT,US,Technology Hardware & Equipment,81.6,-3.1,28.9,"1,138.7",2.3,16.1,7.2,345.3,19.1,15.4,30.3,68.5,"2,420.3",14.6,6.0,"3,400",9.7,8.9
