EU R&D Scoreboard 2016 :  World - 2500 companies ranked by R&D,,,,,,,,,,,,,,,,,,,,,
, , ,Industrial sector , R&D 2015/16, R&D 1 year growth, R&D 3 years growth,Sales 2015/16,Sales 1 year growth,Sales 3 years growth,R&D intensity,Capex 2015/16,Capex 1 year growth,Capex 3 years growth,Capex int.,Profits/losses 2015/16,Profits 1 year growth,Profits 3 years growth,Profitability,Employees 2015/16,Employees 1-year growth,Employees 3-years growth
world rank,Name,Country,(ICB-3D),(€million),(%),"(CAGR-3y, %)",(€million),(%),"(CAGR-3y, %)",(%),(€million),(%),"(CAGR-3y, %)",(%),(€million),(%),"(CAGR-3y, %)",(%), ,(%),"(CAGR-3y, %)"
564,HESTEEL,China,Industrial Metals & Mining,175.4,-28.9,-16.3,"9,900.7",-26.3,-12.7,1.8,"1,804.3",62.2,3.6,18.2,705.0,8.0,21.8,7.1,41795,-8.0,-5.7
565,ECOLAB,US,Chemicals,175.4,-3.0,1.4,"12,441.5",-5.1,4.6,1.4,748.8,2.7,10.3,6.0,"1,866.4",-0.3,11.7,15.0,47000,0.0,4.8
566,DONGFANG ELECTRIC,China,Industrial Engineering,175.4,7.5,0.1,"5,014.6",-7.8,-1.8,3.5,54.5,-42.3,-31.4,1.1,197.1,-22.1,-25.5,3.9,20314,-5.0,-1.1
567,WACKER CHEMIE,Germany,Chemicals,175.3,-4.3,0.3,"5,296.2",9.7,4.5,3.3,820.7,56.3,-4.5,15.5,539.2,25.6,30.1,10.2,16972,1.6,1.4
568,KUDELSKI,Switzerland,Software & Computer Services,175.2,1.3,0.7,869.9,7.8,3.6,20.1,17.9,18.9,18.3,2.1,75.2,32.7,31.5,8.6,3459,14.0,
569,SQUARE ENIX,UK,Software & Computer Services,175.2,-4.4,6.7,0.0,,,,0.0,,,,0.0,,,,0,,
570,KWS SAAT,Germany,Food Producers,174.6,17.3,11.3,0.0,,,,0.0,,,,0.0,,,,0,,
571,RELIANCE INDUSTRIES,India,Chemicals,174.4,3.2,4.0,"38,301.3",-26.3,-11.4,0.5,"6,878.2",-21.6,17.4,18.0,"4,511.4",24.0,14.1,11.8,24121,-3.2,0.8
572,SQUARE,US,Software & Computer Services,174.2,37.9,59.7,"1,163.9",49.0,84.0,15.0,35.6,32.6,43.8,3.1,-110.6,17.3,30.7,-9.5,1449,13.0,
573,ZHENGZHOU YUTONG BUS,China,Automobiles & Parts,173.9,14.9,20.6,"4,166.8",23.1,16.3,4.2,184.3,-32.1,-11.8,4.4,552.7,25.1,29.5,13.3,15810,5.6,20.1
574,MEGGITT,UK,Aerospace & Defense,173.7,40.7,9.5,"2,242.1",6.0,0.9,7.7,62.3,38.8,8.9,2.8,318.5,-1.3,-9.8,14.2,10851,1.6,0.1
575,ICAHN ENTERPRISES,US,General Industrials,173.6,-1.6,1.8,"13,785.3",-20.0,-1.8,1.3,"1,248.3",-3.7,13.2,9.1,-984.7,972.0,,-7.1,73807,51.9,17.9
576,LESHI INTERNET INFORMATION & TECHNOLOGY CORPORATION,China,Software & Computer Services,173.2,52.0,72.7,"1,828.4",91.1,125.8,9.5,397.5,120.5,53.6,21.7,65.1,71.0,23.1,3.6,4885,39.5,56.0
577,BOLLORE,France,Industrial Transportation,172.7,53.6,9.5,"10,824.0",2.0,2.2,1.6,588.9,23.9,11.5,5.4,719.9,12.0,14.9,6.7,58021,6.8,1.5
578,STANLEY BLACK & DECKER,US,Household Goods & Home Construction,172.7,7.7,2.5,"10,261.6",-1.5,3.7,1.7,286.0,7.0,-5.8,2.8,"1,252.5",7.6,15.4,12.2,51250,1.7,4.2
579,RACKSPACE HOSTING,US,Software & Computer Services,172.6,-7.8,11.4,"1,838.2",11.5,15.2,9.4,436.2,10.4,20.7,23.7,189.3,26.0,6.1,10.3,6189,4.3,8.5
580,SUNTORY,Japan,Beverages,171.9,16.5,9.8,"20,480.2",9.4,13.2,0.8,0.0,,,0.0,"1,410.9",12.3,19.8,6.9,42081,11.9,13.5
581,SYMRISE,Germany,Chemicals,171.3,22.4,14.6,"2,601.7",22.7,14.5,6.6,118.2,46.1,31.8,4.5,391.9,31.0,16.3,15.1,8301,1.7,12.7
582,SNCF,France,Industrial Transportation,171.0,-10.5,-5.1,0.0,,,,0.0,,,,0.0,,,,0,,
583,ALTRIA,US,Tobacco,170.8,11.4,11.0,"23,361.8",3.7,1.1,0.7,210.3,40.5,22.7,0.9,"7,717.5",10.2,5.3,33.0,8800,-2.2,-1.1
584,PALO ALTO NETWORKS,US,Software & Computer Services,170.7,77.3,64.4,0.0,,,,0.0,,,,0.0,,,,0,,
585,IAC/INTERACTIVECORP,US,Software & Computer Services,170.6,15.7,22.2,"2,967.7",3.9,4.9,5.7,57.0,8.4,6.6,1.9,158.8,-44.6,-18.1,5.4,5000,0.0,6.0
586,PEARSON,UK,Media,170.1,131.5,48.7,"6,506.4",-2.1,-7.9,2.6,117.1,14.7,3.3,1.8,-484.6,-189.0,,-7.4,39547,-3.4,-2.7
587,MALLINCKRODT,Ireland,Pharmaceuticals & Biotechnology,170.0,10.9,8.7,"3,074.2",31.7,17.6,5.5,135.9,15.8,0.9,4.4,424.2,545.9,25.2,13.8,5700,3.6,
588,RIVERBED TECHNOLOGY,US,Technology Hardware & Equipment,169.8,8.2,13.4,0.0,,,,0.0,,,,0.0,,,,0,,
589,INGENICO,France,Electronic & Electrical equipment,169.5,30.9,19.0,"2,197.3",36.7,22.1,7.7,62.4,20.7,7.8,2.8,380.8,39.4,34.9,17.3,0,,
590,SANY HEAVY INDUSTRY,China,Industrial Engineering,169.4,6.3,-7.4,"3,191.8",-23.6,-20.5,5.3,214.2,-2.4,-31.9,6.7,240.8,-24.0,-38.6,7.5,16119,-29.6,-22.7
591,YANDEX,The Netherlands,Software & Computer Services,169.1,-24.7,9.9,753.6,-9.1,-4.7,22.4,164.4,4.1,10.9,21.8,125.4,-64.5,-24.3,16.6,5463,-2.7,13.3
592,VIVENDI,France,Media,169.0,-36.0,-44.7,"10,762.0",6.7,-21.9,1.6,247.0,-0.8,-60.5,2.3,613.0,-16.7,-29.5,5.7,16395,-51.1,-34.4
593,BANK OF IRELAND,Ireland,Banks,168.0,51.4,34.5,"3,349.0",9.2,23.3,5.0,0.0,,,0.0,"1,232.0",33.9,,36.8,11145,0.5,-2.5
594,CREE,US,Technology Hardware & Equipment,167.9,0.8,8.4,"1,484.9",-1.0,5.3,11.3,123.5,-40.4,11.0,8.3,-9.6,-85.6,,-0.6,0,,
595,NEKTAR THERAPEUTICS,US,Pharmaceuticals & Biotechnology,167.9,23.7,7.1,212.0,15.0,41.7,79.2,10.3,12.2,1.9,4.9,-27.0,78.2,-40.7,-12.7,435,-0.7,0.2
596,VERINT SYSTEMS,US,Software & Computer Services,167.8,1.6,15.1,"1,038.2",0.2,10.4,16.2,27.8,3.7,14.9,2.7,68.5,-3.9,-9.2,6.6,5000,4.2,16.0
597,SINOPEC ENGINEERING,China,"Oil Equipment, Services & Distribution",167.7,26.8,29.3,"6,437.9",-7.8,5.7,2.6,37.0,-42.8,-10.8,0.6,552.3,-8.4,-0.2,8.6,19031,1.0,
598,POU CHEN,Taiwan,Personal Goods,167.5,-6.9,-6.0,"7,499.2",10.3,-0.9,2.2,371.9,44.4,12.6,5.0,605.9,32.4,-2.6,8.1,415296,0.9,-1.0
599,MTU AERO ENGINES,Germany,Aerospace & Defense,167.2,5.8,3.8,"4,435.3",13.3,9.5,3.8,142.8,41.8,12.9,3.2,385.5,14.3,8.7,8.7,8334,0.0,-0.8
600,NOVATEK MICROELECTRONICS,Taiwan,Electronic & Electrical equipment,167.1,3.1,13.4,"1,417.7",-5.9,11.2,11.8,23.7,481.9,73.8,1.7,193.6,-12.4,11.8,13.7,0,,
601,LITE-ON TECHNOLOGY,Taiwan,Technology Hardware & Equipment,166.8,-6.1,1.6,"6,045.7",-5.9,0.1,2.8,143.5,-40.4,-13.5,2.4,298.5,22.8,-6.0,4.9,0,,
602,FIBROGEN,US,Pharmaceuticals & Biotechnology,166.6,39.1,36.6,166.1,31.4,40.0,100.3,1.8,-75.6,38.5,1.1,-71.3,54.9,41.8,-42.9,353,,
603,SILICON LABORATORIES,US,Technology Hardware & Equipment,166.6,6.6,9.7,592.3,3.9,4.6,28.1,10.3,0.4,-52.0,1.7,29.6,-37.3,-27.8,5.0,1199,8.3,6.3
604,ISRAEL,Israel,General Industrials,166.3,0.0,23.1,"4,964.6",-11.6,-21.6,3.3,461.1,-57.3,-23.4,9.3,754.1,5.9,-16.1,15.2,0,,
605,INFINERA,US,Technology Hardware & Equipment,166.0,35.4,15.5,814.5,32.7,26.5,20.4,38.6,81.7,18.3,4.7,54.9,118.5,,6.7,2056,37.5,18.3
606,NISSHINBO,Japan,Personal Goods,166.0,4.0,6.7,"4,070.4",2.0,5.8,4.1,188.5,-23.9,8.3,4.6,93.0,1.1,-2.1,2.3,23055,7.8,1.4
607,TAISHO PHARMACEUTICAL,Japan,Pharmaceuticals & Biotechnology,165.9,1.0,-2.3,"2,211.6",-0.1,0.6,7.5,52.8,31.5,-15.0,2.4,213.6,-12.3,-7.4,9.7,6517,-1.4,0.8
608,IAI,Israel,Aerospace & Defense,164.4,8.5,4.7,"3,405.9",-2.8,5.0,4.8,0.0,,,0.0,43.2,-66.6,-14.3,1.3,0,,
609,KRONES,Germany,Industrial Engineering,163.7,10.1,10.5,"3,173.5",7.5,6.0,5.2,59.6,9.5,-6.0,1.9,243.3,53.7,32.6,7.7,13346,5.7,3.7
610,ESTEE LAUDER,US,Personal Goods,163.6,12.8,22.7,"10,344.7",4.5,3.4,1.6,482.5,11.1,4.4,4.7,"1,606.1",9.0,4.3,15.5,0,,
611,SHUTTERFLY,US,Software & Computer Services,163.0,14.2,21.8,973.1,15.0,18.3,16.7,70.4,-16.8,13.1,7.2,16.8,192.5,-23.4,1.7,2016,11.3,22.1
612,DAILY MAIL AND GENERAL TRUST,UK,Media,162.4,-9.8,46.7,"2,511.9",-1.0,1.8,6.5,39.1,-2.4,-21.9,1.6,344.1,-30.1,-0.6,13.7,10162,2.2,-5.7
613,JSR,Japan,Chemicals,162.1,-4.5,3.0,"2,947.7",-4.3,1.3,5.5,206.2,-16.9,-1.0,7.0,215.5,-25.7,-7.1,7.3,6587,10.0,5.2
614,LENS TECHNOLOGY,China,Construction & Materials,161.9,27.6,47.1,"2,398.3",20.9,15.5,6.8,473.2,-36.8,13.7,19.7,242.7,26.9,-11.5,10.1,69581,,
615,HANWHA TECHWIN,South Korea,Leisure Goods,160.2,7.2,2.9,"2,047.3",-0.1,-3.8,7.8,50.7,-51.9,10.6,2.5,-46.7,-857.6,,-2.3,0,,
616,ENDRESS & HAUSER,Switzerland,Electronic & Electrical equipment,159.7,11.1,12.3,"2,143.6",-4.2,4.2,7.5,0.0,,,0.0,251.3,-15.7,-6.4,11.7,12952,4.2,8.8
617,JVC KENWOOD,Japan,Leisure Goods,157.9,-4.1,-1.0,"2,227.3",2.5,-1.6,7.1,57.4,53.0,6.9,2.6,10.3,-79.3,-47.9,0.5,17884,1.2,11.8
618,JX,Japan,Oil & Gas Producers,157.7,-3.4,-3.7,"66,605.2",-19.7,-8.0,0.2,"1,712.1",-20.7,-10.4,2.6,"-2,344.5",0.1,,-3.5,26339,-0.3,1.0
619,SINO BIOPHARMACEUTICAL,China,Pharmaceuticals & Biotechnology,156.0,25.6,36.0,"1,724.4",17.5,20.4,9.0,148.8,180.9,47.5,8.6,353.9,25.2,20.3,20.5,15259,9.9,13.8
620,VESTAS WIND SYSTEMS,Denmark,Alternative Energy,156.0,-1.9,-11.0,"8,423.0",21.9,5.3,1.9,223.0,36.8,10.1,2.6,907.0,44.7,,10.8,20507,4.3,4.9
621,ANSYS,US,Software & Computer Services,155.1,2.1,8.8,865.9,0.7,5.7,17.9,14.8,-38.0,-12.4,1.7,324.9,1.8,6.2,37.5,2800,3.7,5.3
622,TOKYO ELECTRIC POWER,Japan,Electricity,154.9,22.1,-0.5,"46,268.8",-10.8,0.5,0.3,"4,923.7",13.8,-0.6,10.6,"1,058.8",-56.1,,2.3,42855,-1.1,-4.2
623,SHOWA DENKO,Japan,Chemicals,154.7,-0.4,-0.6,"5,953.0",-10.9,1.8,2.6,309.8,-8.2,-0.6,5.2,175.3,33.9,-2.3,2.9,10561,-0.2,2.2
624,PERFECT WORLD,China,Software & Computer Services,154.5,16.9,17.3,0.0,,,,0.0,,,,0.0,,,,0,,
625,HOLKHAM GROUP,UK,Household Goods & Home Construction,153.9,42.3,,0.0,,,,0.0,,,,0.0,,,,0,,
626,PURE STORAGE,US,Technology Hardware & Equipment,153.1,79.8,,404.5,152.4,,37.8,36.1,-23.4,,8.9,-193.1,16.5,,-47.7,1300,62.5,
627,POLARIS INDUSTRIES,US,Industrial Engineering,152.9,12.1,9.3,"4,334.8",5.3,13.7,3.5,229.2,21.7,34.3,5.3,594.1,-0.9,13.3,13.7,8100,15.7,21.6
628,VIAVI SOLUTIONS,US,Technology Hardware & Equipment,152.8,-46.3,-13.7,832.5,-47.0,-18.5,18.4,0.0,,,0.0,-67.8,314.6,132.1,-8.1,0,,
629,DST SYSTEMS,US,Software & Computer Services,152.8,10.6,1.4,"2,594.9",2.8,3.1,5.9,102.1,-1.9,4.3,3.9,280.7,-1.1,24.8,10.8,13420,-34.6,-9.2
630,SANTEN PHARMACEUTICAL,Japan,Pharmaceuticals & Biotechnology,152.4,14.4,6.1,0.0,,,,0.0,,,,0.0,,,,0,,
631,INDRA SISTEMAS,Spain,Software & Computer Services,152.3,-22.0,-7.6,"2,850.4",-3.0,-1.0,5.3,11.1,-44.2,,0.4,-641.5,"1,410.2",,-22.5,37073,-5.3,0.1
632,AREVA,France,Electricity,152.0,-41.3,-27.6,"4,199.0",6.2,-22.1,3.6,646.0,-33.9,-31.6,15.4,"-1,411.0",-33.5,,-33.6,39761,-5.0,-4.4
633,MASTERCARD,US,Financial Services,151.6,3.8,10.6,"8,879.4",2.4,9.4,1.7,314.1,2.4,16.2,3.5,"4,598.1",-2.9,7.8,51.8,11300,9.7,14.6
634,ARIAD PHARMACEUTICALS,US,Pharmaceuticals & Biotechnology,151.5,132.6,4.6,109.1,12.7,497.1,138.8,15.8,517.3,50.4,14.5,-199.6,35.6,1.9,-182.9,459,21.1,15.2
635,SHANGHAI TUNNEL ENGINEERING,China,Construction & Materials,151.2,66.3,23.0,"3,680.3",5.7,6.9,4.1,221.7,-82.0,-20.7,6.0,110.3,-22.0,-3.2,3.0,9008,-2.1,10.5
636,ALSTOM,France,Industrial Engineering,151.0,-63.2,-46.2,"6,881.0",-64.7,-30.2,2.2,514.0,-32.0,-11.4,7.5,228.0,-66.7,-43.6,3.3,30970,-64.7,-28.9
637,ROPER INDUSTRIES,US,Electronic & Electrical equipment,150.8,11.0,9.3,"3,290.5",0.9,6.2,4.6,33.3,-3.7,-1.9,1.0,944.2,2.8,10.7,28.7,10806,6.6,
638,TELEDYNE TECHNOLOGIES,US,Aerospace & Defense,150.4,-37.5,7.5,"2,110.9",-4.0,2.6,7.1,43.2,8.0,-10.4,2.0,258.7,-4.3,5.0,12.3,9200,-6.1,-1.5
639,FAIRCHILD SEMICONDUCTOR,US,Technology Hardware & Equipment,149.4,-1.9,1.2,"1,258.6",-4.4,-0.9,11.9,64.8,25.4,-23.0,5.1,55.5,-17.6,0.2,4.4,6379,-22.9,-11.1
640,ITRON,US,Electronic & Electrical equipment,149.1,-7.5,-3.1,"1,730.1",-3.3,-4.7,8.6,40.3,-1.3,-4.6,2.3,41.9,-8.8,-33.2,2.4,7900,-1.3,-2.4
641,SIKA,Switzerland,Chemicals,148.7,-4.2,-2.4,"5,082.1",-1.5,4.4,2.9,125.5,-6.8,2.6,2.5,623.4,6.3,15.9,12.3,17281,2.3,4.3
642,HALLA VISTEON CLIMATE CONTROL,South Korea,Automobiles & Parts,148.4,15.4,88.3,"4,354.2",1.9,15.0,3.4,209.9,-2.2,25.5,4.8,281.7,-2.9,5.1,6.5,0,,
643,HARLEY-DAVIDSON,US,Automobiles & Parts,148.1,16.6,5.5,"5,506.9",-3.7,2.4,2.7,238.8,11.9,11.2,4.3,"1,061.5",-9.8,4.0,19.3,5700,-3.4,-0.6
644,BANCO POPULAR ESPANOL,Spain,Banks,148.0,190.2,104.8,"3,658.3",-11.0,-3.1,4.0,0.0,,,0.0,114.2,-69.4,,3.1,15079,-1.6,-3.0
645,SPOTIFY,Luxembourg,Software & Computer Services,148.0,25.8,57.4,0.0,,,,0.0,,,,0.0,,,,0,,
646,CDK,US,Software & Computer Services,147.9,-5.3,1.0,"1,942.3",2.5,4.8,7.6,59.1,0.6,27.7,3.0,388.3,17.7,10.0,20.0,8700,-2.2,
647,ELEKTA,Sweden,Health Care Equipment & Services,147.5,-4.6,14.9,"1,221.1",3.5,2.8,12.1,20.3,-37.0,-5.1,1.7,64.0,-39.3,-33.5,5.2,3617,-5.9,1.2
648,HUNTSMAN,US,Chemicals,147.0,1.3,1.7,"9,459.9",-11.0,-2.7,1.6,609.0,10.3,17.2,6.4,649.4,-10.6,-9.0,6.9,15000,-6.3,7.7
649,NOVAVAX,US,Pharmaceuticals & Biotechnology,146.7,113.0,86.4,33.3,18.2,18.0,440.7,16.8,151.6,61.5,50.4,-144.4,87.9,74.4,-433.8,443,43.8,47.9
650,WINBOND ELECTRONICS,Taiwan,Technology Hardware & Equipment,146.7,7.6,7.0,"1,068.8",0.9,5.2,13.7,114.1,-69.0,10.0,10.7,116.6,12.6,,10.9,0,,
651,MINDRAY MEDICAL INTERNATIONAL,China,Health Care Equipment & Services,146.1,17.2,18.3,0.0,,,,0.0,,,,0.0,,,,0,,
652,CHINA CSSC,China,Industrial Engineering,145.9,35.0,36.9,"3,841.4",-1.3,-2.0,3.8,94.3,5.1,-11.5,2.5,1.2,-98.1,-83.5,0.0,13219,5.2,7.8
653,KURARAY,Japan,Chemicals,145.8,35.0,5.2,"3,976.9",26.8,12.2,3.7,328.5,-0.6,-0.1,8.3,470.9,54.4,8.3,11.8,8405,1.1,4.7
654,UMICORE,Belgium,Industrial Metals & Mining,145.7,-1.5,-7.4,"9,697.7",-1.2,-8.2,1.5,0.0,,,0.0,223.2,-15.0,-10.0,2.3,10279,-26.6,-5.2
655,TOTO,Japan,Construction & Materials,145.6,3.4,6.1,"4,328.8",4.3,6.0,3.4,208.3,7.0,8.7,4.8,349.3,22.6,26.4,8.1,28148,4.9,4.1
656,VOESTALPINE,Austria,Industrial Metals & Mining,145.5,2.2,1.6,"11,068.7",-1.1,-1.3,1.3,"1,284.3",21.0,20.2,11.6,877.9,3.7,1.3,7.9,46423,4.2,2.2
657,MERZ,Germany,Pharmaceuticals & Biotechnology,145.5,1.8,6.1,0.0,,,,0.0,,,,0.0,,,,0,,
658,NEWMARKET,US,Chemicals,145.4,13.7,10.3,"1,966.4",-8.3,-1.1,7.4,116.2,111.8,48.3,5.9,327.7,-1.7,-0.2,16.7,1979,6.1,5.0
659,FORTINET,US,Software & Computer Services,145.2,28.7,24.9,927.0,31.0,23.7,15.7,34.3,16.0,19.2,3.7,20.6,-62.1,-38.9,2.2,4018,40.8,27.2
660,SONOVA,Switzerland,Health Care Equipment & Services,145.0,-0.6,3.3,"1,918.3",1.8,4.9,7.6,76.9,-6.6,0.3,4.0,373.5,-6.0,37.1,19.5,10894,7.0,6.8
661,SKYWORTH DIGITAL,China,Electronic & Electrical equipment,144.8,99.0,52.7,"5,059.9",6.4,4.1,2.9,175.8,32.9,11.3,3.5,357.4,-24.9,13.3,7.1,38000,11.8,4.8
662,MITSUBISHI GAS CHEMICAL,Japan,Chemicals,144.3,12.2,7.3,"4,524.0",12.1,8.2,3.2,221.6,18.7,-1.2,4.9,247.7,134.2,41.9,5.5,8176,-0.9,15.4
663,YUE YUEN INDUSTRIAL,China,Personal Goods,144.3,-11.4,-9.0,"7,747.7",5.3,-2.8,1.9,372.6,32.9,11.8,4.8,402.7,33.0,-7.4,5.2,411000,0.7,-1.0
664,AGFA-GEVAERT,Belgium,Electronic & Electrical equipment,144.0,-1.4,-4.0,"2,646.0",1.0,-5.0,5.4,35.0,-2.8,-5.1,1.3,161.0,20.1,11.2,6.1,10241,-2.5,-3.5
665,GAMELOFT,France,Software & Computer Services,143.9,24.1,13.4,256.2,12.7,7.1,56.2,0.0,,,0.0,-9.3,-337.8,,-3.6,6167,-8.2,-0.3
666,LINDE,Germany,Chemicals,143.0,17.2,6.6,"17,944.0",5.3,4.3,0.8,"1,894.0",-3.2,0.6,10.6,"1,987.0",11.0,-0.5,11.1,64538,-1.6,0.9
667,CARL BENNET,Sweden,Support Services,142.8,-3.2,154.3,"4,615.1",13.9,73.4,3.1,0.0,,,0.0,436.7,10.2,88.2,9.5,22151,4.1,67.7
668,TESARO,US,Pharmaceuticals & Biotechnology,142.7,31.2,48.8,0.3,,,"49,018.9",17.7,-25.5,33.2,"6,089.9",-216.8,41.1,56.2,"-74,461.2",119,10.2,47.6
669,HOYA,Japan,Leisure Goods,141.8,10.0,9.9,"3,854.9",3.2,10.7,3.7,138.6,-1.1,-25.0,3.6,"1,653.7",5.3,20.9,42.9,34362,-0.8,-0.7
670,SMITHS,UK,Electronic & Electrical equipment,141.6,-3.2,-0.9,0.0,,,,0.0,,,,0.0,,,,0,,
671,NRG ENERGY,US,Electricity,141.5,69.2,62.3,"13,478.5",-7.5,20.3,1.0,"1,178.5",41.1,-27.7,8.7,"-3,753.1",-401.5,,-27.8,10468,6.8,6.0
672,EMERGENT BIOSOLUTIONS,US,Pharmaceuticals & Biotechnology,141.5,2.1,8.6,480.2,16.1,22.9,29.5,41.2,46.1,-5.9,8.6,88.2,65.4,47.4,18.4,1292,0.9,13.8
673,JUNO THERAPEUTICS,US,Pharmaceuticals & Biotechnology,141.1,28.6,,16.7,,,843.3,25.9,852.8,,154.7,-218.7,6.3,,"-1,307.0",306,222.1,
674,NTN,Japan,Industrial Engineering,140.9,2.2,4.5,"5,465.4",2.2,9.9,2.6,262.5,10.6,-14.6,4.8,343.7,2.8,114.2,6.3,24109,3.2,4.1
675,MUNDIPHARMA RESEARCH,UK,Pharmaceuticals & Biotechnology,140.7,23.5,12.9,0.0,,,,0.0,,,,0.0,,,,0,,
676,SMC,Japan,Industrial Engineering,140.7,4.8,10.4,"3,625.4",3.8,13.8,3.9,182.9,-4.9,14.8,5.0,"1,023.2",5.3,19.8,28.2,18382,5.7,5.6
677,VIASAT,US,Technology Hardware & Equipment,140.2,54.0,35.6,"1,301.9",2.5,8.2,10.8,413.9,7.5,30.8,31.8,37.8,-50.5,,2.9,3800,11.8,12.1
678,ARISTOCRAT LEISURE,Australia,Travel & Leisure,139.2,43.1,30.6,"1,057.7",82.2,39.4,13.2,81.6,91.4,64.4,7.7,199.1,346.8,65.0,18.8,2912,28.1,10.9
679,NEWELL BRANDS,US,Household Goods & Home Construction,139.2,18.1,-3.6,"5,433.7",3.3,2.0,2.6,194.2,30.6,6.1,3.6,671.2,1.1,1.8,12.4,17200,-1.1,-2.0
680,ENI,Italy,Oil & Gas Producers,139.0,-25.3,-13.0,"67,740.0",-27.3,-19.3,0.2,"10,619.0",-0.6,-1.8,15.7,"-1,662.0",-121.4,,-2.5,29053,-1.2,-28.0
681,ADIDAS,Germany,Personal Goods,139.0,10.3,2.8,"16,915.0",16.4,4.4,0.8,464.0,-7.0,7.3,2.7,"1,059.0",20.1,4.8,6.3,55555,3.4,6.3
682,BANDAI NAMCO,Japan,Leisure Goods,138.7,-3.0,3.1,"4,386.9",1.8,5.7,3.2,103.7,15.4,15.5,2.4,359.0,-11.9,-0.7,8.2,7391,2.4,1.9
683,MACRONIX INTERNATIONAL,Taiwan,Technology Hardware & Equipment,138.4,-20.8,0.0,583.2,-6.6,-4.8,23.7,40.7,-12.0,-19.5,7.0,-112.7,-35.6,-8.8,-19.3,0,,
684,EBERSPAECHER,Germany,Automobiles & Parts,138.2,0.1,4.8,0.0,,,,0.0,,,,0.0,,,,0,,
685,WARTSILA,Finland,Industrial Engineering,138.0,-15.9,-13.3,"5,029.0",3.9,2.1,2.7,79.0,-20.2,-11.0,1.6,609.0,27.4,-0.1,12.1,18856,6.4,-0.1
686,FITBIT,US,Health Care Equipment & Services,137.8,175.0,110.0,"1,706.6",149.3,189.8,8.1,28.1,15.4,130.2,1.6,319.8,120.5,,18.7,1101,,
687,KDDI,Japan,Technology Hardware & Equipment,137.2,-12.7,-14.6,"34,043.7",-2.3,6.8,0.4,"2,616.8",-12.3,2.1,7.7,"6,242.9",17.1,23.8,18.3,31834,13.0,16.3
688,GANSU JIU STEEL GROUP HONG XING IRON & STEEL,China,Industrial Metals & Mining,137.1,-21.9,32.3,"7,148.7",-45.1,-12.1,1.9,72.1,-41.5,-55.7,1.0,-745.7,-507.6,,-10.4,24614,-4.1,0.9
689,ACORDA THERAPEUTICS,US,Pharmaceuticals & Biotechnology,137.1,103.1,40.4,452.5,22.7,17.2,30.3,6.5,-9.2,-19.6,1.4,31.2,-6.6,9.9,6.9,535,9.4,12.3
690,TATUNG,Taiwan,Electronic & Electrical equipment,136.7,-10.7,-2.5,"2,640.5",-15.9,-3.7,5.2,178.0,33.1,-0.7,6.7,-195.1,-354.6,-17.9,-7.4,0,,
691,INTEGRATED DEVICE TECHNOLOGY,US,Technology Hardware & Equipment,136.4,16.3,-4.4,640.6,21.7,12.9,21.3,24.9,52.5,-0.9,3.9,125.5,22.9,,19.6,1767,22.1,0.4
692,JACK HENRY & ASSOCIATES,US,Software & Computer Services,136.3,15.1,14.5,0.0,,,,0.0,,,,0.0,,,,0,,
693,BELDEN,US,Electronic & Electrical equipment,136.2,30.2,31.4,"2,121.1",0.0,7.9,6.4,50.5,20.9,10.3,2.4,127.5,-12.8,12.0,6.0,8700,1.2,7.5
694,INDIVIOR,UK,Pharmaceuticals & Biotechnology,135.9,28.7,53.4,931.4,-9.1,-8.9,14.6,24.8,,108.0,2.7,317.8,-37.0,-26.9,34.1,885,19.4,9.3
695,OSHKOSH,US,Industrial Engineering,135.9,4.2,10.7,"5,601.3",-10.4,-9.2,2.4,145.1,26.5,34.9,2.6,366.1,-20.8,0.9,6.5,13300,10.8,0.3
696,SYSMEX,Japan,Health Care Equipment & Services,135.5,21.0,13.6,"1,929.7",14.4,20.3,7.0,104.3,5.0,12.5,5.4,434.2,28.6,37.7,22.5,6496,10.0,10.2
697,QIAGEN,The Netherlands,Pharmaceuticals & Biotechnology,135.2,-10.1,6.3,"1,176.6",-4.7,0.7,11.5,89.8,28.5,-1.4,7.6,151.7,109.7,-1.5,12.9,0,,
698,ZHEJIANG DAHUA TECHNOLOGY,China,Leisure Goods,135.1,22.4,58.6,"1,375.8",42.8,43.1,9.8,52.1,189.0,26.7,3.8,183.3,32.6,27.0,13.3,6714,8.7,27.5
699,GRUNDFOS,Denmark,Industrial Engineering,135.0,-12.1,-7.6,365.6,-50.5,-22.4,36.9,0.0,,,0.0,24.9,14.1,-13.3,6.8,2547,-7.5,-2.8
700,PRADA,Italy,Personal Goods,134.3,1.2,6.4,"3,547.8",-0.1,2.5,3.8,393.9,8.9,,11.1,502.9,-28.3,-17.3,14.2,12414,3.8,9.6
701,ACI WORLDWIDE,US,Software & Computer Services,134.0,1.2,2.9,960.8,2.9,16.2,14.0,44.9,40.1,43.2,4.7,118.7,-12.0,15.1,12.4,4576,2.3,9.0
702,TECHNICOLOR,France,Media,134.0,3.9,-5.7,"3,652.0",9.6,0.7,3.7,51.0,-15.0,-13.9,1.4,264.0,-12.6,5.0,7.2,16720,17.7,4.5
703,SHENZHEN O FILM TECH,China,Electronic & Electrical equipment,133.9,10.8,66.0,"2,580.8",-5.1,67.4,5.2,165.2,10.0,10.6,6.4,130.4,-10.3,27.5,5.1,28405,51.1,34.9
